1,1826765661 - Zelle: Andrew B Neddo,-100,gw4QVNB50Pi8y7pLBLPpSzaPXP06ANFqjbnOB,2018-12-31,0,21005000,oyDE0oDm5pcXvjb6R4ZYuMo0gKokBeCBYnkNY,special,2019-01-12 03:00:34,2019-01-12 03:00:34
2,ADOBE *PHOTOGPHY PLAN,10.59,gw4QVNB50Pi8y7pLBLPpSzaPXP06ANFqjbnOB,2018-12-31,0,19019000,BRwgk1wnYjCyw8RLZ93mCjeoY5n1pXH9yR65K,digital,2019-01-12 03:00:34,2019-01-12 03:00:34
3,ALDI 670142130 ANDERSON RPETOSKEY,34.69,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,19047000,mB6O9X61RpFkyJxv7zbYUQXLJrNgevuMoEzJR,place,2019-01-12 03:00:34,2019-01-12 03:00:34
4,CASH REWARDS CREDIT,-4.8,XvZywbZJ7aIvZjoknRYDCvZwAwgPzaH4gq31L,2018-12-31,0,21005000,kPd9NDdLRpfK0Xm6P9NQFeXJLg1dD5TRLZM1q,special,2019-01-12 03:00:34,2019-01-12 03:00:34
6,NAME-CHEAP.COM WWW.NAMECHEAPAZ,22.99,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,18000000,w4k6gxk0mpCovgjn94DxtZVwayjAz4CLmJPX6,place,2019-01-12 03:00:35,2019-01-12 03:00:35
7,TO ******3386 - USAA FUNDS TRANSFER DB,50,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,21006000,zJ01mZ04ydtZbjR3x9ANs47woDRLqBCOpkVq3,special,2019-01-12 03:00:35,2019-01-12 03:00:35
8,TO ******3386 - USAA FUNDS TRANSFER DB,200,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,21006000,Y05K6b5847I05XR3YrE1tox5jV7RymiQA7Rgj,special,2019-01-12 03:00:35,2019-01-12 03:00:35
9,USAA FUNDS TRANSFER CR,-200,gw4QVNB50Pi8y7pLBLPpSzaPXP06ANFqjbnOB,2018-12-31,0,21005000,3e7kd97J1wfLJjQAqz6NtzB8YqK5vbfK6Mbdv,special,2019-01-12 03:00:35,2019-01-12 03:00:35
10,USAA FUNDS TRANSFER CR,-50,gw4QVNB50Pi8y7pLBLPpSzaPXP06ANFqjbnOB,2018-12-31,0,21005000,yxvD0Avr5ptR1A0Ba6X5tLVYm904jXUOEP0Y6,special,2019-01-12 03:00:35,2019-01-12 03:00:35
11,USAA REWARDS CREDIT,-5.61,XvZywbZJ7aIvZjoknRYDCvZwAwgPzaH4gq31L,2018-12-31,0,21005000,Kwynx6yBMNcwyKRLzd9qtV6L0Xo3yatQMK0JR,special,2019-01-12 03:00:36,2019-01-12 03:00:36
12,Walmart,10.15,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,19018000,L6KpxLK37RF9K13Erw0zC6vERPxmjbf0kj97A,place,2019-01-12 03:00:36,2019-01-12 03:00:36
13,Walmart,41,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,19018000,ZjokLboZ4atjoRPvQeEyiQAPgrAnK4TRNq9dO,place,2019-01-12 03:00:36,2019-01-12 03:00:36
14,Which Wich,24.91,6MO0L9O5ZDcE5PyjJOowUKqEvXXdKzIj53YNq,2018-12-31,0,13005000,dbQ83qQEXaUyoMODjw45C1MLzPXOmYCbzPMVg,place,2019-01-12 03:00:36,2019-01-12 03:00:36
15,AMZN Mktp US*M295F1IH0 Amzn.com/billWA,13.98,DML9mKLw5RcYLkaOegEXfJ4ZKaaEJDf618gVv,2018-12-28,0,19000000,qkPQqZP3Optp14AdnYDec1VX9jNObLFJ3Ad9Y,place,2019-01-12 03:00:36,2019-01-12 03:00:36
